lang	vecs	wordcount	language	corpus	wordfreq	bigramfreq	trigramfreq	topvecs	binary	allvecs
af	subs	323000	Afrikaans	OpenSubtitles	https://hdl.handle.net/1839/a1a82d13-be9d-4024-bbfe-90de100fcd3c	https://hdl.handle.net/1839/1f671cfa-131d-4fa8-bfe2-021a59952256	https://hdl.handle.net/1839/e4a8e2f0-2cfa-4d5a-8d22-864ef02d7f26	https://hdl.handle.net/1839/59a61205-dfc3-4eec-9fd9-311b3f65c9a5	https://hdl.handle.net/1839/8d87878f-ce0b-4221-81b3-5fff04eec335	https://hdl.handle.net/1839/486caf84-5d28-439c-a09f-6b90b7fe79dd
af	wiki	17000000	Afrikaans	Wikipedia	https://hdl.handle.net/1839/881ee792-f6f4-4d6d-8f36-dafc0eee90da	https://hdl.handle.net/1839/15491991-cd87-47f0-b43b-94f18aef58a6	https://hdl.handle.net/1839/0f513627-7249-4631-9d02-fb4e3ac34f7a	https://hdl.handle.net/1839/0df6604d-115a-4855-9632-b73a09c1feed	https://hdl.handle.net/1839/964592a3-5e5f-4d33-a6bf-dc59da45aeef	https://hdl.handle.net/1839/e79d2821-4c6c-46b5-98f2-83fd0e11c3d7
af	wiki+subs	17323000	Afrikaans	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/fecf0c1e-b5e1-4994-96b6-5262e44ea070	https://hdl.handle.net/1839/5da7b3c1-6208-44ac-880d-3b1abd1e8f83	https://hdl.handle.net/1839/b0db599b-4a4e-4590-85fd-b0adecf00aaa
ar	subs	188000000	Arabic	OpenSubtitles	https://hdl.handle.net/1839/2f747bf3-5974-493e-b541-b608660843e5	https://hdl.handle.net/1839/20bd0262-8f9b-451d-a2ef-2aa3f67dc919	https://hdl.handle.net/1839/1f15561c-18fb-4386-a027-cec5c9214223	https://hdl.handle.net/1839/4d9c22fc-fa2e-4172-868b-2ee42101cc46	https://hdl.handle.net/1839/c2402eb5-a5c5-4c3d-b812-cd067155ed9c	https://hdl.handle.net/1839/dbdda088-0c75-43be-93e2-96d91851375f
ar	wiki	119000000	Arabic	Wikipedia	https://hdl.handle.net/1839/277a81e3-d6e5-4329-9d14-443362dcba3c	https://hdl.handle.net/1839/599cc779-486d-4d54-bf69-472586c6c478	https://hdl.handle.net/1839/49998cd2-f46a-4aa9-8f04-5e977596ffad	https://hdl.handle.net/1839/d76d8c0e-6ea9-43b8-862c-41fbf0fda997	https://hdl.handle.net/1839/6fe8e7a5-f69a-4b7d-bc8b-1c0c1c115e44	https://hdl.handle.net/1839/921f5077-087f-4aa6-9062-9e80f99c2749
ar	wiki+subs	307000000	Arabic	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/3f173eeb-a56e-451a-9713-8311a7e777c1	https://hdl.handle.net/1839/6349f448-2506-417b-bdfe-ed6cbf240f5b	https://hdl.handle.net/1839/e2c926d4-ccb3-4fdb-907d-fe44b878b123
bg	subs	246000000	Bulgarian	OpenSubtitles	https://hdl.handle.net/1839/53ad8a0a-4bd9-49ea-bfe8-fecd95664912	https://hdl.handle.net/1839/89115179-7319-40ff-9a90-49f26ec550f4	https://hdl.handle.net/1839/e9c22c29-8ebd-47a9-8dd8-e7af8000189a	https://hdl.handle.net/1839/2c35acb4-9da0-474a-b75b-d827a6514e54	https://hdl.handle.net/1839/60303dde-aa64-44ce-b2fc-729b63f24fba	https://hdl.handle.net/1839/a6f3034d-d5eb-4b83-8ede-3f55ad888488
bg	wiki	53000000	Bulgarian	Wikipedia	https://hdl.handle.net/1839/a2cebd0a-2c26-4e70-a045-d3bd9b37c842	https://hdl.handle.net/1839/a0be309f-1fb6-42cb-b70a-b253bc728c00	https://hdl.handle.net/1839/024f4d5f-5fac-4423-b67c-4d6b013be0f2	https://hdl.handle.net/1839/af30b5a1-c403-43d7-b3e1-9e771910a4bc	https://hdl.handle.net/1839/0b087c91-650a-4abc-a828-5b1c945ee2a6	https://hdl.handle.net/1839/269b9008-46ae-45aa-a854-b6ae878ae6f1
bg	wiki+subs	299000000	Bulgarian	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/9370ac19-48b2-4a59-b4f3-c263db800b33	https://hdl.handle.net/1839/84c9b31a-ec25-4668-b949-6ed8d0e1949c	https://hdl.handle.net/1839/ac329e8f-3eb3-4e4e-925e-addf4a72dca9
bn	subs	2227000	Bengali	OpenSubtitles						
bn	wiki	18000000	Bengali	Wikipedia						
bn	wiki+subs	20227000	Bengali	Wikipedia + OpenSubtitles						
br	subs	110000	Breton	OpenSubtitles						
br	wiki	7644000	Breton	Wikipedia						
br	wiki+subs	7754000	Breton	Wikipedia + OpenSubtitles						
bs	subs	91000000	Bosnian	OpenSubtitles						
bs	wiki	13000000	Bosnian	Wikipedia						
bs	wiki+subs	104000000	Bosnian	Wikipedia + OpenSubtitles						
ca	subs	3098000	Catalan	OpenSubtitles						
